Semana,Caudal
2017-25,34.68
2017-26,31.72
2017-27,29.25
2017-28,29.53
2017-29,27.62
2017-30,27.98657
2017-31,31.42472
2017-32,29.70671
2017-33,30.50914
2017-34,27.50414
2017-35,26.21286
2017-36,29.97786
2017-37,34.37186
2017-38,42.16557
2017-39,37.27272
2017-40,40.04
2017-41,35.78929
2017-42,50.35933
2017-43,54.94
2017-44,41.15814
2017-45,42.647
2017-46,39.76014
2017-47,47.388
2017-48,78.08743
2017-49,69.76414
2017-50,71.145
2017-51,83.196
2018-00,69.08714
2018-01,96.78586
2018-02,158.17729
2018-03,167.02357
2018-04,113.19586
2018-05,88.53571
2018-06,99.37823
2018-07,140.28
2018-08,102.99643
2018-09,175.90486
2018-10,169.64672
2018-11,198.22
2018-12,312.63143
2018-13,235.31329
2018-14,294.17214
2018-15,149.18
2018-16,104.35
2018-17,78.03814
2018-18,78.31386
2018-19,130.92629
2018-20,64.44929
2018-21,64.44929
2018-22,39.501
2018-23,33.69029
2018-24,30.22843
2018-25,27.87229
2018-26,27.25757
2018-27,27.21729
2018-28,24.95571
2018-29,24.80943
2018-30,25.691
2018-31,27.63
2018-32,23.78
2018-33,23.528
2018-34,23.29
2018-35,23.00714
2018-36,23.17357
2018-37,26.454
2018-38,23.7
2018-39,23.69514
2018-40,28.11329
2018-41,37.07329
2018-42,70.53557
2018-43,55.18371
2018-44,60.44571
2018-45,57.00571
2018-46,103.00771
2018-47,99.828
2018-48,60.27571
2018-49,46.702
2018-50,68.7
2018-51,97.34714
2019-00,78.29857
2019-01,95.08172
2019-02,95.65
2019-03,109.29957
2019-04,149.65083
2019-05,136.57714
2019-06,224.71072
2019-07,198.04343
2019-08,191.01128
2019-09,215.64014
2019-10,236.761
2019-11,250.86798
2019-12,301.45972
2019-13,253.08543
2019-14,253.08543
2019-15,141.04586
2019-16,123.86657
2019-17,85.17386
2019-18,71.22429
2019-19,76.85714
2019-20,47.97114
2019-21,37.62429
2019-22,37.80629
2019-23,35.46871
2019-24,33.20014
2019-25,28.37629
2019-26,28.47
2019-27,28.92033
2019-28,24.42233
2019-29,24.08667
2019-30,22.47129
2019-31,25.21271
2019-32,28.061
2019-33,28.45586
2019-34,26.646
2019-35,27.72057
2019-36,27.96757
2019-37,31.354
2019-38,37.1464
2019-39,29.935
2019-40,31.668
2019-41,30.06143
2019-42,48.13
2019-43,37.78183
2019-44,60.72143
2019-45,68.56986
2019-46,51.535
2019-47,45.11571
2019-48,84.84643
2019-49,99.13971
2019-50,201.52657
2019-51,224.10943
2019-52,205.24614
2020-00,129.33128
2020-01,73.393
2020-02,73.09257
2020-03,140.69343
2020-04,189.96014
2020-05,184.551
2020-06,141.48914
2020-07,83.96957
2020-08,124.34114
2020-09,110.965
2020-10,130.17914
2020-11,127.86657
2020-12,138.129
2020-13,109.14457
2020-14,80.13357
2020-15,57.13714
2020-16,55.18429
2020-17,80.201
2020-18,73.39871
2020-19,57.62971
2020-20,47.20843
2020-21,39.63557
2020-22,49.13686
2020-23,34.15043
2020-24,32.28886
2020-25,29.45586
2020-26,27.98643
2020-27,24.37186
2020-28,23.62086
2020-29,26.75743
2020-30,26.48129
2020-31,25.50657
2020-32,31.44143
2020-33,33.36571
2020-34,29.069
2020-35,26.00543
2020-36,25.02186
2020-37,27.85471
2020-38,27.98657
2020-39,25.259
2020-40,25.18557
2020-41,33.126
2020-42,41.12714
